City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cap malheureux,-19.9842,57.6142,24.7,84,68,6.88,MU,1675203945
1,port lincoln,-34.7333,135.8667,17.05,84,99,7.25,AU,1675203826
2,saqqez,36.2499,46.2735,-5.22,93,28,2.26,IR,1675204174
3,moerai,-22.4333,-151.3333,26.38,74,91,4.47,PF,1675203873
4,yerbogachen,61.2767,108.0108,-35.57,100,76,1.26,RU,1675203951
5,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,1675203534
6,barrow,71.2906,-156.7887,-21.99,84,0,11.83,US,1675203819
7,talnakh,69.4865,88.3972,-17.11,96,100,4.2,RU,1675203950
8,ust-ilimsk,58.0006,102.6619,-17.18,97,100,1.8,RU,1675203930
9,katsuura,35.1333,140.3,5.75,70,13,2.72,JP,1675203842
10,busselton,-33.65,115.3333,13.95,76,0,7.49,AU,1675203520
11,whitehorse,60.7161,-135.0538,-8.32,76,75,3.09,CA,1675203952
12,puerto ayora,-0.7393,-90.3518,27.98,89,76,0.45,EC,1675203838
13,arraial do cabo,-22.9661,-42.0278,24.98,78,0,7.72,BR,1675203600
14,ampanihy,-24.7,44.75,19.82,80,1,6.19,MG,1675204011
15,iqaluit,63.7506,-68.5145,-25.73,68,100,7.6,CA,1675203806
16,cape town,-33.9258,18.4232,21.06,81,20,7.2,ZA,1675203561
17,albany,42.6001,-73.9662,-3.21,57,86,0.45,US,1675203821
18,dikson,73.5069,80.5464,-22.21,93,96,4.05,RU,1675203820
19,torbay,47.6666,-52.7314,0.22,91,75,2.06,CA,1675203869
20,kapaa,22.0752,-159.319,26.18,83,75,4.12,US,1675203820
21,shiraz,29.6036,52.5388,6.69,61,75,11.83,IR,1675204176
22,clyde river,70.4692,-68.5914,-31.87,83,0,1.54,CA,1675203835
23,togitsu,32.8333,129.85,6.99,81,75,6.69,JP,1675204177
24,yellowknife,62.456,-114.3525,-28.71,69,75,5.66,CA,1675203521
25,chipata,-13.6333,32.65,18.02,97,100,2.15,ZM,1675204177
26,port elizabeth,-33.918,25.5701,20.73,97,0,2.57,ZA,1675204008
27,chokurdakh,70.6333,147.9167,-16.71,97,100,0.87,RU,1675203858
28,port-gentil,-0.7193,8.7815,26.98,83,20,3.09,GA,1675203640
29,ushuaia,-54.8,-68.3,12.81,58,40,2.06,AR,1675203805
30,bredasdorp,-34.5322,20.0403,19.2,96,35,0.96,ZA,1675203813
31,vaini,-21.2,-175.2,26.09,94,75,4.63,TO,1675203834
32,carnarvon,-24.8667,113.6333,24.98,78,67,5.72,AU,1675203816
33,east london,-33.0153,27.9116,22.9,89,83,5.81,ZA,1675203808
34,sambava,-14.2667,50.1667,25.22,88,12,2.72,MG,1675204178
35,hermanus,-34.4187,19.2345,17.67,90,13,3.27,ZA,1675203811
36,jamestown,42.097,-79.2353,-6.1,62,40,2.06,US,1675203788
37,abeche,13.8292,20.8324,25.35,13,11,4.44,TD,1675204179
38,bethel,41.3712,-73.414,2.2,58,0,3.09,US,1675203829
39,mataura,-46.1927,168.8643,16.27,99,100,0.45,NZ,1675203836
40,saint-joseph,-21.3667,55.6167,25.21,85,96,4.24,RE,1675204179
41,oktyabrskiy,54.4815,53.471,-12.54,97,38,2.87,RU,1675204180
42,bangassou,4.7413,22.8184,24.4,35,7,1.05,CF,1675204180
43,nurpur,29.15,78.4167,10.67,92,0,4.39,IN,1675204180
44,noumea,-22.2763,166.4572,28.33,99,83,0.48,NC,1675203643
45,qaanaaq,77.484,-69.3632,-21.28,50,70,3.85,GL,1675203895
46,guerrero negro,27.9769,-114.0611,15.81,50,59,4.11,MX,1675203819
47,mwinilunga,-11.7358,24.4293,15.08,98,88,1.12,ZM,1675204181
48,longyearbyen,78.2186,15.6401,-9.09,67,40,6.69,SJ,1675203994
49,lavrentiya,65.5833,-171.0,-5.27,97,100,1.03,RU,1675203810
50,itarema,-2.9248,-39.9167,26.47,78,89,5.56,BR,1675203932
51,rikitea,-23.1203,-134.9692,26.33,72,15,5.73,PF,1675203818
52,kamariotissa,40.4833,25.4667,8.24,57,53,7.95,GR,1675204182
53,atuona,-9.8,-139.0333,26.16,74,83,9.31,PF,1675203850
54,port alfred,-33.5906,26.891,21.21,94,12,0.89,ZA,1675203816
55,kununurra,-15.7667,128.7333,25.99,100,40,0.0,AU,1675204182
56,anjozorobe,-18.4,47.8667,18.46,95,99,2.99,MG,1675204183
57,san patricio,28.017,-97.5169,5.93,78,100,7.21,US,1675203813
58,lompoc,34.6391,-120.4579,18.3,50,0,4.02,US,1675203830
59,paamiut,61.994,-49.6678,-10.38,66,100,3.82,GL,1675203959
60,punta arenas,-53.15,-70.9167,15.06,51,75,12.86,CL,1675203609
61,vila franca do campo,37.7167,-25.4333,13.23,83,65,3.86,PT,1675204183
62,bloomington,44.8408,-93.2983,-11.09,57,20,5.14,US,1675204181
63,pacifica,37.6138,-122.4869,15.83,26,0,3.6,US,1675204184
64,laguna,38.421,-121.4238,14.45,38,0,3.6,US,1675203694
65,alekseyevsk,57.8406,108.3492,-16.6,97,100,2.83,RU,1675204184
66,nikolskoye,59.7035,30.7861,-0.05,93,98,3.66,RU,1675203541
67,kavieng,-2.5744,150.7967,28.23,73,100,3.48,PG,1675203636
68,mehamn,71.0357,27.8492,-0.05,93,75,6.69,NO,1675204185
